MassParameter_1,MassParameter_2,Phi_12,Dataset1_YER170W,Dataset1_YNL102W,Dataset1_YAR007C,Dataset1_YBR088C,Dataset1_YDL164C,Dataset1_YKL113C,Dataset1_YNL312W,Dataset1_YDR097C,Dataset1_YOL090W,Dataset1_YDR507C,Dataset1_YFL008W,Dataset1_YIL026C,Dataset1_YJL074C,Dataset1_YJL187C,Dataset1_YLR103C,Dataset1_YKL152C,Dataset1_YLR044C,Dataset1_YOL086C,Dataset1_YJR123W,Dataset1_YKR057W,Dataset1_YKR094C,Dataset1_YLR029C,Dataset1_YLR061W,Dataset1_YLR075W,Dataset1_YLR167W,Dataset1_YLR287C-A,Dataset1_YLR325C,Dataset1_YLR340W,Dataset1_YLR441C,Dataset1_YML026C,Dataset1_YML063W,Dataset1_YNL069C,Dataset1_YNL178W,Dataset1_YNL302C,Dataset1_YOL039W,Dataset1_YOL040C,Dataset1_YOL121C,Dataset1_YOL127W,Dataset1_YOR063W,Dataset1_YOR167C,Dataset1_YOR182C,Dataset1_YOR234C,Dataset1_YOR293W,Dataset1_YOR369C,Dataset1_YPL081W,Dataset1_YPL090C,Dataset1_YPL143W,Dataset1_YPL220W,Dataset1_YPR102C,Dataset1_YPR132W,Dataset1_YDR380W,Dataset1_YNR019W,Dataset1_YDR019C,Dataset1_YBR183W,Dataset1_YGL089C,Dataset1_YKL178C,Dataset1_YBR038W,Dataset1_YDR146C,Dataset1_YGL116W,Dataset1_YGR092W,Dataset1_YGR108W,Dataset1_YIL106W,Dataset1_YMR001C,Dataset1_YPR119W,Dataset1_YMR170C,Dataset1_YGR043C,Dataset1_YGR248W,Dataset1_YOR120W,Dataset1_YMR271C,Dataset1_YDR058C,Dataset1_YDL174C,Dataset1_YOR040W,Dataset1_YFL044C,Dataset1_YOL055C,Dataset1_YGL156W,Dataset1_YBR092C,Dataset1_YCR042C,Dataset1_YBL023C,Dataset1_YBR202W,Dataset1_YGL201C,Dataset1_YLR274W,Dataset1_YPR019W,Dataset1_YHR005C,Dataset1_YJL071W,Dataset1_YOR128C,Dataset1_YDL215C,Dataset1_YPL040C,Dataset1_YPR051W,Dataset1_YPR073C,Dataset1_YGR202C,Dataset1_YNR008W,Dataset1_YBL033C,Dataset1_YOR241W,Dataset1_YOR278W,Dataset1_YLR005W,Dataset1_YML098W,Dataset1_YOR249C,Dataset1_YGL058W,Dataset1_YDR498C,Dataset1_YLR268W,Dataset2_YER170W,Dataset2_YNL102W,Dataset2_YAR007C,Dataset2_YBR088C,Dataset2_YDL164C,Dataset2_YKL113C,Dataset2_YNL312W,Dataset2_YDR097C,Dataset2_YOL090W,Dataset2_YDR507C,Dataset2_YFL008W,Dataset2_YIL026C,Dataset2_YJL074C,Dataset2_YJL187C,Dataset2_YLR103C,Dataset2_YKL152C,Dataset2_YLR044C,Dataset2_YOL086C,Dataset2_YJR123W,Dataset2_YKR057W,Dataset2_YKR094C,Dataset2_YLR029C,Dataset2_YLR061W,Dataset2_YLR075W,Dataset2_YLR167W,Dataset2_YLR287C-A,Dataset2_YLR325C,Dataset2_YLR340W,Dataset2_YLR441C,Dataset2_YML026C,Dataset2_YML063W,Dataset2_YNL069C,Dataset2_YNL178W,Dataset2_YNL302C,Dataset2_YOL039W,Dataset2_YOL040C,Dataset2_YOL121C,Dataset2_YOL127W,Dataset2_YOR063W,Dataset2_YOR167C,Dataset2_YOR182C,Dataset2_YOR234C,Dataset2_YOR293W,Dataset2_YOR369C,Dataset2_YPL081W,Dataset2_YPL090C,Dataset2_YPL143W,Dataset2_YPL220W,Dataset2_YPR102C,Dataset2_YPR132W,Dataset2_YDR380W,Dataset2_YNR019W,Dataset2_YDR019C,Dataset2_YBR183W,Dataset2_YGL089C,Dataset2_YKL178C,Dataset2_YBR038W,Dataset2_YDR146C,Dataset2_YGL116W,Dataset2_YGR092W,Dataset2_YGR108W,Dataset2_YIL106W,Dataset2_YMR001C,Dataset2_YPR119W,Dataset2_YMR170C,Dataset2_YGR043C,Dataset2_YGR248W,Dataset2_YOR120W,Dataset2_YMR271C,Dataset2_YDR058C,Dataset2_YDL174C,Dataset2_YOR040W,Dataset2_YFL044C,Dataset2_YOL055C,Dataset2_YGL156W,Dataset2_YBR092C,Dataset2_YCR042C,Dataset2_YBL023C,Dataset2_YBR202W,Dataset2_YGL201C,Dataset2_YLR274W,Dataset2_YPR019W,Dataset2_YHR005C,Dataset2_YJL071W,Dataset2_YOR128C,Dataset2_YDL215C,Dataset2_YPL040C,Dataset2_YPR051W,Dataset2_YPR073C,Dataset2_YGR202C,Dataset2_YNR008W,Dataset2_YBL033C,Dataset2_YOR241W,Dataset2_YOR278W,Dataset2_YLR005W,Dataset2_YML098W,Dataset2_YOR249C,Dataset2_YGL058W,Dataset2_YDR498C,Dataset2_YLR268W
2,2,4.9379,5,3,2,1,2,1,1,4,4,5,2,2,4,3,3,2,4,1,1,3,2,3,3,1,4,4,4,4,1,1,1,4,5,1,2,2,2,3,5,5,1,1,1,3,1,1,5,1,4,4,5,2,1,3,3,3,4,5,4,1,1,4,3,2,2,3,3,3,2,1,1,5,2,4,1,4,2,1,2,3,4,3,4,1,1,2,4,3,4,2,5,5,4,3,3,3,5,2,1,1,2,1,4,4,3,3,4,3,4,2,5,1,4,1,4,2,2,2,2,2,5,1,2,1,5,4,1,2,1,2,3,2,3,5,5,4,3,1,5,4,3,5,1,3,4,5,1,4,5,4,3,5,3,4,4,5,2,4,2,5,1,4,4,5,3,2,5,5,2,2,5,1,5,3,1,1,4,5,1,3,2,1,1,3,2,2,3,2,1,4,4,3,4,3,2,5,5,1,3,3
1.7164,2.0465,1.3064,1,47,36,2,47,36,36,47,47,47,1,36,2,2,1,2,47,2,2,3,36,1,49,1,2,1,47,1,36,1,47,1,36,2,1,36,1,1,2,1,36,2,1,47,36,15,47,15,1,2,2,49,2,1,47,36,49,47,47,2,15,47,1,47,15,1,2,1,1,1,1,15,2,2,36,2,1,47,36,47,36,36,47,1,36,1,36,2,2,1,1,1,47,1,2,2,47,36,3,2,1,2,2,1,1,1,2,2,1,2,1,49,1,2,1,1,27,27,1,1,2,2,27,27,2,2,27,1,2,2,1,2,27,2,2,1,1,27,1,2,2,2,1,27,1,1,2,2,2,2,2,27,27,27,2,27,1,1,1,2,27,2,2,2,27,1,2,27,2,1,27,1,27,1,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,27,1,2,27,2,1,2,2,2,27
1.6488,1.7066,21.242,1,1,1,1,1,1,1,1,1,1,1,1,1,36,1,1,1,1,36,1,1,1,1,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,1,1,36,1,1,36,1,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,1,1,1,1,36,1,36,1,1,1,36,1,1,1,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4713,1.5231,4.4098,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,3,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,3,1,2,3,1,1,1,40,40,40,1,1,40,40,1,2,3,2,40,40,1,1,1,40,1,1,1,1,40,1,40,2,40,1,2,40,40,1,40,1,1,1,2,1,1,40,40,40,1,1,1,1,40,1,40,40,40,1,40,1,1,40,1,1,2,40,45,45,45,1,40,3,40,3,40,40,40,40,40,1,1,1,1,2,40,1,40,1,1,1,40,1,1,1,40,40,1,40,40,40,40
1.326,1.009,0.83138,4,4,26,3,3,47,4,26,47,3,3,4,4,3,4,4,3,3,4,3,4,26,4,4,4,4,4,4,26,4,4,4,3,4,47,4,4,3,4,4,3,4,4,3,26,4,4,47,3,4,3,4,26,4,47,4,4,47,4,4,4,30,4,3,3,3,4,3,4,47,4,4,3,3,3,47,26,4,3,4,3,4,4,3,26,3,47,3,3,4,4,47,47,3,3,4,4,3,4,47,11,33,33,3,33,17,3,3,3,33,33,3,3,22,17,3,3,3,3,33,33,3,3,22,33,3,22,22,11,22,22,17,17,33,3,22,33,3,3,33,22,33,22,22,22,22,3,22,17,33,22,22,33,22,3,33,22,22,22,22,33,3,22,17,3,3,22,11,22,3,22,3,22,21,33,22,3,22,33,33,22,33,22,33,33,22,22,33,22,22,3,3,22,17,22,33,33,22,33,22
